Title: The ASAS-SN Bright Supernova Catalog -- II. 2015
Authors: T. W.-S. Holoien et al.
Table: Table 1 - ASAS-SN Supernovae
================================================================================
Byte-by-byte Description of file: table1.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label      Explanations
--------------------------------------------------------------------------------
   1- 11 A11    ---      SNName     Name of supernova
  13- 19 A7     ---      IAUName    IAU name of supernova (1)
  21- 33 A13    ---      DiscDate   Discovery Date
  35- 45 F11.2  ---      RA         Right Ascension (2)
  47- 57 F11.1  ---      Dec        Declination (2)
  59- 65 F7.5   ---      Redshift   Redshift of supernova
  67- 70 F4.1   mag      DiscMag    Discovery V-band Magnitude (3)
  72- 75 F4.1   mag      PeakMag    Peak V-band Magnitude (3)
  77- 82 A6     arcsec   Offset     Offset from host nucleus (4)
  84- 90 A7     ---      Type       Type of supernova
  92- 95 A4     d        DiscAge    Age of supernova at discovery, relative to peak (5)
  97-126 A30    ---      HostName   Host galaxy name
 128-153 A26    ---      DiscAtel   Discovery ATel
 155-184 A30    ---      ClassAtel  Classification ATel
--------------------------------------------------------------------------------
Note (1):   IAU name is not provided if one was not given to the supernova.
Note (2):   Right ascension and declination are given in the J2000 epoch.
Note (3):   All magnitudes are V -band magnitudes from ASAS-SN.
Note (4):   Offset indicates the offset of the SN in arcseconds from the coordinates of the host nucleus, taken from NED.
Note (5):   Discovery ages are given in days relative to peak. All ages are approximate and are only listed if a clear age was given in the classification telegram.
--------------------------------------------------------------------------------
ASASSN-15ab ---     2015-01-02.33       14.00       -38.0 0.01780 16.3 15.5 25.86  IIn     ---  ESO 325-G045                   Dong et al. (2015a)        Shappee et al. (2015b)         
ASASSN-15ad ---     2014-12-29.18        6.00       -16.0 0.02400 16.3 16.3 14.67  Ia      -4   PGC 902451                     Shappee et al. (2015a)     Shappee et al. (2015b)         
ASASSN-15ae ---     2015-01-01.63       15.00        34.0 0.03124 17.4 16.4 4.98   Ia      -5   2MASX J15510599+3425520        Kiyota et al. (2015a)      Tomasella et al. (2015a)       
ASASSN-15aj ---     2015-01-08.30       10.00       -32.0 0.01092 15.0 14.7 6.36   Ia      -3   NGC 3449                       Dong et al. (2015b)        Simon et al. (2015)            
ASASSN-15ak ---     2015-01-09.22        0.00        26.0 0.01503 15.1 14.7 3.36   Ia-91T  ---  UGC 00110                      Dong et al. (2015c)        Tomasella et al. (2015a)       
ASASSN-15al ---     2015-01-10.33        4.00       -21.0 0.03200 17.0 16.8 7.20   Ia      0    GALEXASC J045749.46-213526.3   Holoien et al. (2015a)     Fremling et al. (2015a)        
ASASSN-15ar ---     2015-01-13.28        2.00        10.0 0.02882 17.6 16.6 21.06  Ia      -6   CGCG 439-010                   Kiyota et al. (2015b)      Ochner et al. (2015a)          
ASASSN-15as ---     2015-01-13.44        9.00         6.0 0.02800 16.4 16.1 3.40   Ia      -1   SDSS J093916.69+062551.1       Gonzalez et al. (2015)     Morrell et al. (2015a)         
ASASSN-15az ---     2015-01-14.46       11.00       -10.0 0.02832 16.3 16.3 19.00  Ia      -1   2MASX J11083863-1014456        Brimacombe et al. (2015a)  Ochner et al. (2015a)          
ASASSN-15ba ---     2015-01-15.64       14.00         8.0 0.02313 16.6 15.8 0.86   Ia      -5   SDSS J140455.12+085514.0       Conseil et al. (2015a)     Challis et al. (2015a)         
ASASSN-15bb ---     2015-01-16.27       13.00       -36.0 0.01587 16.3 16.3 10.24  II      -2   ESO 381-IG048                  Kiyota et al. (2015c)      Milisavljevic et al. (2015)    
ASASSN-15bc ---     2015-01-16.31        4.00        -8.0 0.03672 17.1 16.9 3.64   Ia      -7   2MASX J04061478-0853112        Brimacombe et al. (2015b)  Zhang & Wang (2015a)           
ASASSN-15bd ---     2015-01-17.63       15.00        16.0 0.00795 16.8 16.0 1.08   IIb     ---  SDSS J155438.39+163637.6       Kiyota et al. (2015d)      Challis et al. (2015b)         
ASASSN-15be ---     2015-01-19.07        2.00       -34.0 0.02190 16.4 15.6 7.00   Ia      -10  GALEXASC J025245.83-341850.6   Brimacombe et al. (2015c)  Morrell et al. (2015b)         
ASASSN-15bf ---     2015-01-19.12        4.00       -41.0 0.04853 17.7 16.1 4.77   Ia      8    2MASX J04384102-4137212        Brimacombe et al. (2015d)  Fremling et al. (2015b)        
ASASSN-15bk ---     2015-01-19.62       15.00        11.0 0.03428 17.2 17.1 6.99   Ia      -1   CGCG 078-056                   Kiyota et al. (2015e)      Morrell et al. (2015b)         
ASASSN-15bm ---     2015-01-22.36       15.00        -5.0 0.02060 16.6 15.5 0.14   Ia      -10  GALEXASC J150551.56-053737.2   Fernandez et al. (2015a)   Morrell et al. (2015b)         
ASASSN-15bn ---     2015-01-23.63       15.00        66.0 0.02800 16.7 16.1 7.69   Ia      -2   GALEXASC J155536.57+664316.5   Brimacombe et al. (2015e)  Zhang & Wang (2015b)           
ASASSN-15bo ---     2015-01-22.58       14.00        24.0 0.03630 17.1 16.1 0.32   Ia      -9   SDSS J144455.21+243443.9       Fernandez et al. (2015b)   Benetti et al. (2015b)         
